emojiname,emojicode
"woman_guard","\\ud83d\\udc82\\u200D\\u2640\\uFE0F"
"ninja","\\ud83e\\udd77"
"construction_worker","\\ud83d\\udc77"
"man_construction_worker","\\ud83d\\udc77\\u200D\\u2642\\uFE0F"
"woman_construction_worker","\\ud83d\\udc77\\u200D\\u2640\\uFE0F"
"⊛_person_with_crown","\\ud83e\\udec5"
"prince","\\ud83e\\udd34"
"princess","\\ud83d\\udc78"
"person_wearing_turban","\\ud83d\\udc73"
"man_wearing_turban","\\ud83d\\udc73\\u200D\\u2642\\uFE0F"
"woman_wearing_turban","\\ud83d\\udc73\\u200D\\u2640\\uFE0F"
"person_with_skullcap","\\ud83d\\udc72"
"woman_with_headscarf","\\ud83e\\uddd5"
"person_in_tuxedo","\\ud83e\\udd35"
"man_in_tuxedo","\\ud83e\\udd35\\u200D\\u2642\\uFE0F"
"woman_in_tuxedo","\\ud83e\\udd35\\u200D\\u2640\\uFE0F"
"person_with_veil","\\ud83d\\udc70"
"man_with_veil","\\ud83d\\udc70\\u200D\\u2642\\uFE0F"
"woman_with_veil","\\ud83d\\udc70\\u200D\\u2640\\uFE0F"
"pregnant_woman","\\ud83e\\udd30"
"⊛_pregnant_man","\\ud83e\\udec3"
"⊛_pregnant_person","\\ud83e\\udec4"
"breastfeeding","\\ud83e\\udd31"
"woman_feeding_baby","\\ud83d\\udc69\\u200D\\ud83c\\udf7c"
"man_feeding_baby","\\ud83d\\udc68\\u200D\\ud83c\\udf7c"
"person_feeding_baby","\\ud83e\\uddd1\\u200D\\ud83c\\udf7c"
"baby_angel","\\ud83d\\udc7c"
"santa_claus","\\ud83c\\udf85"
"mrs_claus","\\ud83e\\udd36"
"mx_claus","\\ud83e\\uddd1\\u200D\\ud83c\\udf84"
"superhero","\\ud83e\\uddb8"
"man_superhero","\\ud83e\\uddb8\\u200D\\u2642\\uFE0F"
"woman_superhero","\\ud83e\\uddb8\\u200D\\u2640\\uFE0F"
"supervillain","\\ud83e\\uddb9"
"man_supervillain","\\ud83e\\uddb9\\u200D\\u2642\\uFE0F"
"woman_supervillain","\\ud83e\\uddb9\\u200D\\u2640\\uFE0F"
"mage","\\ud83e\\uddd9"
"man_mage","\\ud83e\\uddd9\\u200D\\u2642\\uFE0F"
"woman_mage","\\ud83e\\uddd9\\u200D\\u2640\\uFE0F"
"fairy","\\ud83e\\uddda"
"man_fairy","\\ud83e\\uddda\\u200D\\u2642\\uFE0F"
"woman_fairy","\\ud83e\\uddda\\u200D\\u2640\\uFE0F"
"vampire","\\ud83e\\udddb"
"man_vampire","\\ud83e\\udddb\\u200D\\u2642\\uFE0F"
"woman_vampire","\\ud83e\\udddb\\u200D\\u2640\\uFE0F"
"merperson","\\ud83e\\udddc"
"merman","\\ud83e\\udddc\\u200D\\u2642\\uFE0F"
"mermaid","\\ud83e\\udddc\\u200D\\u2640\\uFE0F"
"elf","\\ud83e\\udddd"
"man_elf","\\ud83e\\udddd\\u200D\\u2642\\uFE0F"
"woman_elf","\\ud83e\\udddd\\u200D\\u2640\\uFE0F"
"genie","\\ud83e\\uddde"
"man_genie","\\ud83e\\uddde\\u200D\\u2642\\uFE0F"
"woman_genie","\\ud83e\\uddde\\u200D\\u2640\\uFE0F"
"zombie","\\ud83e\\udddf"
"man_zombie","\\ud83e\\udddf\\u200D\\u2642\\uFE0F"
"woman_zombie","\\ud83e\\udddf\\u200D\\u2640\\uFE0F"
"⊛_troll","\\ud83e\\uddcc"
"person_getting_massage","\\ud83d\\udc86"
"man_getting_massage","\\ud83d\\udc86\\u200D\\u2642\\uFE0F"
"woman_getting_massage","\\ud83d\\udc86\\u200D\\u2640\\uFE0F"
"person_getting_haircut","\\ud83d\\udc87"
"man_getting_haircut","\\ud83d\\udc87\\u200D\\u2642\\uFE0F"
"woman_getting_haircut","\\ud83d\\udc87\\u200D\\u2640\\uFE0F"
"person_walking","\\ud83d\\udeb6"
"man_walking","\\ud83d\\udeb6\\u200D\\u2642\\uFE0F"
"woman_walking","\\ud83d\\udeb6\\u200D\\u2640\\uFE0F"
"person_standing","\\ud83e\\uddcd"
"man_standing","\\ud83e\\uddcd\\u200D\\u2642\\uFE0F"
"woman_standing","\\ud83e\\uddcd\\u200D\\u2640\\uFE0F"
"person_kneeling","\\ud83e\\uddce"
"man_kneeling","\\ud83e\\uddce\\u200D\\u2642\\uFE0F"
"woman_kneeling","\\ud83e\\uddce\\u200D\\u2640\\uFE0F"
"person_with_white_cane","\\ud83e\\uddd1\\u200D\\ud83e\\uddaf"
"man_with_white_cane","\\ud83d\\udc68\\u200D\\ud83e\\uddaf"
"woman_with_white_cane","\\ud83d\\udc69\\u200D\\ud83e\\uddaf"
"person_in_motorized_wheelchair","\\ud83e\\uddd1\\u200D\\ud83e\\uddbc"
"man_in_motorized_wheelchair","\\ud83d\\udc68\\u200D\\ud83e\\uddbc"
"woman_in_motorized_wheelchair","\\ud83d\\udc69\\u200D\\ud83e\\uddbc"
"person_in_manual_wheelchair","\\ud83e\\uddd1\\u200D\\ud83e\\uddbd"
"man_in_manual_wheelchair","\\ud83d\\udc68\\u200D\\ud83e\\uddbd"
"woman_in_manual_wheelchair","\\ud83d\\udc69\\u200D\\ud83e\\uddbd"
"person_running","\\ud83c\\udfc3"
